1,4,Managment/ Paid,"Kasturba Medical College, Manipal",MBBS,,,,,,,Not Reported Seat
"",,Seats,"Univ., Manipal",,,,,,,,Cancelled
2,22,Managment/ Paid,"Kasturba Medical College, Manipal",MBBS,,,,,,,Not Reported Seat
"",,Seats,"Univ., Manipal",,,,,,,,Cancelled
3,30,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
4,67,Managment/ Paid,"Kasturba Medical College, Manipal",MBBS,,,,,,,Not Reported Seat
"",,Seats,"Univ., Manipal",,,,,,,,Cancelled
5,86,Managment/ Paid,"Kasturba Medical College, Manipal",MBBS,,,,,,,Not Reported Seat
"",,Seats,"Univ., Manipal",,,,,,,,Cancelled
6,90,Managment/ Paid,"Kasturba Medical College, Manipal",MBBS,Managment/,"Kasturba Medical College, Manipal",MBBS,UR,UR,1,Allotted seat from
"",,Seats,"Univ., Manipal",,Paid Seats,"Univ., Mangalore",,,,,fresh choices
7,116,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
8,120,,,,Managment/,"INST.OF MED.SCIENCES,",MBBS,UR,UR,1,Allotted in 2nd
"",,,,,Paid Seats,"BHU,VARANASI",,,,,Round
9,128,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
10,131,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
11,142,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
12,156,,,,Managment/,"INST.OF MED.SCIENCES,",MBBS,UR,UR,1,Allotted in 2nd
"",,,,,Paid Seats,"BHU,VARANASI",,,,,Round
13,167,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
14,202,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
15,231,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
16,234,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
17,240,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
18,241,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
19,244,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
20,248,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
21,249,,,,Managment/,"INST.OF MED.SCIENCES,",MBBS,UR,OBC,1,Allotted in 2nd
"",,,,,Paid Seats,"BHU,VARANASI",,,,,Round
22,253,Managment/ Paid,"Kasturba Medical College, Manipal",MBBS,,,,,,,Not Reported Seat
"",,Seats,"Univ., Manipal",,,,,,,,Cancelled
23,259,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
24,266,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
25,273,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Did not fill up
"",,Seats,"BHU,VARANASI",,,,,,,,fresh choices
26,274,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
27,276,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
28,277,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
29,280,NRI Seats,"Kasturba Medical College, Manipal",MBBS,,,,,,,Not Reported Seat
"",,,"Univ., Manipal",,,,,,,,Cancelled
30,288,NRI Seats,"Amrita Institute of Medical Science,",MBBS,,,,,,,Not Reported Seat
"",,,Kochi,,,,,,,,Cancelled
31,291,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
32,294,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
33,297,,,,Managment/,"INST.OF MED.SCIENCES,",MBBS,UR,UR,1,Allotted in 2nd
"",,,,,Paid Seats,"BHU,VARANASI",,,,,Round
34,302,Managment/ Paid,"Kasturba Medical College, Manipal",MBBS,,,,,,,Not Reported Seat
"",,Seats,"Univ., Manipal",,,,,,,,Cancelled
35,309,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Did Not Opt for
"",,Seats,"BHU,VARANASI",,,,,,,,Upgradation
36,312,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
37,313,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
38,325,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Did Not Opt for
"",,Seats,"BHU,VARANASI",,,,,,,,Upgradation
39,339,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Did Not Opt for
"",,Seats,"BHU,VARANASI",,,,,,,,Upgradation
40,342,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
41,344,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
42,345,Managment/ Paid,"Kasturba Medical College, Manipal",MBBS,,,,,,,Did Not Opt for
"",,Seats,"Univ., Manipal",,,,,,,,Upgradation
43,348,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
44,355,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Did Not Opt for
"",,Seats,"BHU,VARANASI",,,,,,,,Upgradation
45,362,Managment/ Paid,"Kasturba Medical College, Manipal",MBBS,,,,,,,Not Reported Seat
"",,Seats,"Univ., Mangalore",,,,,,,,Cancelled
46,374,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
47,388,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Did Not Opt for
"",,Seats,"BHU,VARANASI",,,,,,,,Upgradation
48,390,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
49,402,Managment/ Paid,"MG Inst. of Medical Sciences,",MBBS,,,,,,,Not Reported Seat
"",,Seats,Sevagram Wardha,,,,,,,,Cancelled
50,413,Managment/ Paid,"Kasturba Medical College, Manipal",MBBS,,,,,,,Not Reported Seat
"",,Seats,"Univ., Manipal",,,,,,,,Cancelled
51,422,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
52,427,Managment/ Paid,"INST.OF MED.SCIENCES,",MBBS,,,,,,,Not Reported Seat
"",,Seats,"BHU,VARANASI",,,,,,,,Cancelled
53,428,Managment/ Paid,"JWAHAR LAL NEHRU M.C. AMU,",MBBS,,,,,,,Not Reported Seat
