107,C40246,a j institute of medical sciences
184,C43566,a.n.magadh medical college & hosp.
14,C10217,aarupadai veedu medical college and hosp.
157,C22936,acharya sri chander college of medical science & hosp.
207,C52006,acsr government medical college
261,U736,adesh univ.
112,C40144,"adichunchanagiri institute of medical science,"
166,C9587,agartala government medical college
101,C56655,akash institute of medical sciences and research centre
91,C40062,al-ameen medical college
302,C51350,al-azhar medical college
276,U496,"aligarh muslim univ., aligarh"
256,U687,"all india institute of medical sciences, bhopal"
90,U688,"all india institute of medical sciences, bhubaneswar"
254,U689,"all india institute of medical sciences, jodhpur"
154,U686,"all india institute of medical sciences, patna"
145,U690,"all india institute of medical sciences, raipur"
218,U691,"all india institute of medical sciences, rishikesh"
127,C30584,"aluuri seetharama raju academy of medical sceiences, eluru"
97,C43290,"amala institute of medical sciences, thrissur"
3,C6079,amc medical education trust medical college
45,U436,"amrita vishwa vidyapeetham, coimbatore"
23,C56084,annaii medical college and hosp.
119,U443,"annamalai univ., annamalainagar"
2,C45704,"annapoorana medical college and hosp. (inst.code - 491), salem"
124,C13844,"armed force medical college, pune"
192,C32857,army college of medical science
200,C8408,assam medical college p.o.dibrugarh- 786003
292,C48104,azeezia institute of medical sciences and research
72,C6051,b.j.medical college
165,U214,"b.l.d.e.univ.,  bijapur"
164,C48368,b.p.s.government medical college for women khanpur kalan
286,U500,"banaras hindu univ., banaras"
179,C40417,bangalore medical college
241,C16386,bankura sammilani medical college
235,C40477,basaveshwara medical college & hosp.
110,C40592,belgaum institute of medical sciences
42,U446,bharath institute of higher education & research
258,C16374,burdwan medical college
9,C40338,bvv sangha?s s.nijalingappa medical college
117,C50869,"c m medical college and hosp., kachandur"
4,C1039,c.u.shah medical college -surendranagar
243,C16391,calcutta national medical college
288,C52818,career institute of medical sciences and hosp.
187,C30472,"chalmeda ananda rao institute of medical sciences, karimnagar"
36,C45745,"chennai medical college hosp. and reserch centre (inst.code - 246), trichy"
54,C7049,chettinad hosp. and research institute
41,C33014,chhattisgarh institute of medical science (cims)
88,C48204,chirayu medical college and hosp.
33,C45654,"christian medical college (inst.code - 011), vellore"
233,C29209,"christian medical college, brown road, ludhiana"
147,C45513,"coimbatore medical college (inst.code - 007), coimbatore"
196,C16382,"college of medicine and j n m hosp., kalyani"
244,C16379,college of medicine and sagar dutta hosp.
238,C16409,command hosp.
121,U294,"d.y.patil educational society , kolhapur"
267,C8756,darbhanga medical college & hosp.
15,U295,"datta meghe institute of medical sciences, nagpur"
160,C29255,"dayanand medical college,civil lines, ludhiana"
55,C45716,"dhanalakshmi srinivasan medical college and hosp. (inst.code - 455),  perambalur"
294,C55143,dm wayanad institute of medical sciences
61,C47152,"dr s n medical college and hosp., jodhpur"
122,C40483,dr.b r ambedkar medical college
274,C55888,dr.baba saheb ambedkar medical college
123,C30694,"dr.pinnemaneni siddhartha inst.of medical sciences & research foundation, chinnaoutpalli"
155,C13740,"dr.punjabrao deshmukh memorial medical  college, amravati"
301,C11393,"dr.rp medical college, tanda, distt kangra"
297,C13985,"dr.shankarrao chavan govt medical college,  vazirabad, nanded"
314,C14018,"dr.vaishampayan memorial govt.medical  college, solapur"
52,C13936,"dr.vasantrao pawar medical college, hosp. & research centre, adgaon naka, nashik"
251,C30628,"dr.vrk women's medical college, aziznagar"
234,C16426,"e s i, joka"
50,C45507,"esi medical college & esi-pgimsr (inst.code - 495), chennai"
298,C47410,"esic medical college ??and post graduate institute of medical scineces and research, bangalore"
217,C56398,esic medical college and hosp.
131,C56937,"esic medical college and hosp., sedam road gulbarga"
58,C54870,f h medical college
80,C40208,fr.muller medical college
7,C47885,g c s medical college hosp. and research centre
70,C46573,g m e r s medical college dharpur
6,C47886,"g m e r s medical college, ahmedabad"
71,C47898,"g m e r s medical college, gandhinagar"
51,C12290,"g.s.v.m.medical college,"
190,U11,"gandhi institute of technology & management (gitam) univ., visakhapatnam"
174,C17298,gauhati medical college
133,U746,geetanjali univ.
153,C30473,"gems medical college, srikakulam"
269,C35335,"ghandi medical college, bhopal"
40,C51933,gmers medical college
5,C46593,"gmers medical college, valsad"
32,C51884,"gmers medical college,himmatnagar"
311,C30851,goa medical  college bambolim
30,C13807,"godavari foundations dr.ulhas patil medical college & hosp., jalgaon khurd, tal.& dist.jalgaon"
59,C45796,"government chengalpattu medical college & hosp. (inst.code - 006), kancheepuram"
38,C45577,"government dharmapuri medical college (inst.code - 244), dharmapuri"
224,C56722,government doon medical college
141,C45623,"government kanyakumari medical college (inst.code - 087), kanyakumari"
222,C45405,"government kilpauk medical college (inst.code - 004), chennai"
162,C21899,"government madical college, haldwani"
18,C7198,government medical college
13,C690,government medical college
268,C49581,government medical college
94,C55343,government medical college idukki
305,C30409,"government medical college, anantapur"
236,C56085,"government medical college, omandurar estate (inst.code -        )"
53,C45690,"government mohan kumaramangalam medical college (inst.code - 010), salem"
46,C29442,"govt medical college & hosp., sector-32"
317,C54352,govt.medical college kota
290,C21456,"govt.medical college srinagar,"
255,C32975,"govt.medical college, jagdalpur"
161,C14032,"govt.medical college, miraj, sangli"
159,C13885,"govt.medical college, nagpur"
259,C52001,"govt.medical college, palakkad"
321,C29191,"govt.medical college, sangrur road, patiala"
134,C31875,"govt.s.s medical college,rewa"
146,C30524,"gsl medical college, rajahmundry"
78,C4108,gujarat adani institute of  medical science
47,C51531,"gulbarga institute of medical sciences, gulbarga"
232,C40164,hassan institute of medical sciences
150,U819,hemwati nandan bahuguna medical education univ.
19,C39706,"hi-tech.medical college & hosp., pandra, rasulgarh, bhubaneswar"
143,C10213,himalayan institute of medical sciences
257,C42360,"hind institute of medical sciences, railway crossing, safedabad, barabanki"
105,C55887,hinduhridaysamrat balasaheb thackeray medical college and dr.r.n.cooper muncipal general hosp.
43,C45594,"i.r.t.perundurai medical college & research centre (inst.code - 013), erode "
262,C57119,"icare institute of medical sciences and research , haldia, west bengal"
300,C29653,"index medical college hosp. & research, nemawar road,  indore"
8,C6561,indira gandhi medical college & research institute
312,C11340,"indira gandhi medical college, shimla"
247,C16428,institute of post graduate medical education & research
284,U519,"integral univ., lucknow"
252,C57101,iq city medical college
60,C47042,"j l n medical college and hosp., ajmer"
265,U107,jamia hamdard
180,C42780,jawahar lal nehru medical college & hosp.
270,U368,"jawaharlal institute of post graduate medical education & research, puducherry"
69,C24503,jawaharlal nehru medical college
318,C47141,"jhalawar medical college and hosp., jhalawar"
291,C49802,"jiius indian institute of medical science and research, warudi, badnapur"
215,C13964,"jmfs a.c.p.m.medical college, sakri road, dhule"
109,C35009,"jss medical college, mysore"
85,C43331,"jubilee mission medical college, thrissur"
248,C16383,k p c medical college
66,C45684,"k.a.p.viswanatham government medical college (inst.code - 134), tiruchirapalli"
77,C13769,"k.j.somaiya medical college, sion, mumbai"
57,C19319,k.s.hegde medical academy
282,U356,"kalinga institute of industrial technology, bhubaneswar"
140,C40444,karnataka institute of medical sciences
65,C45816,"karpaga vinayaga institute of medical sciences and research centre (inst.code - 336), kancheepuram"
138,C47560,"karpagam faculty of medical sciences & research (inst.code - 536), coimbatore"
172,C43276,"karuna medical college, chittur"
84,C55787,karwar institute of medical sciences karwar
181,C7251,"kasturba medical college, mangalore"
208,C7242,"kasturba medical college, manipal"
28,C29573,"katihar  medical college, katihar"
100,C40499,kempegowda institute of medical sciences
142,C40070,khaja banda nawaz rural institute of medical sciences
287,U523,king george medical univ.
197,C8250,"kmct medical college, mukkam"
210,C56696,kodagu institute of medical sciences
89,C51561,koppal institute of medical sciences koppal
213,C23033,"krishna institute of medical sciences, karad"
307,C30373,"kurnool medical college, kurnool"
93,C40294,kvg medical college sullia
228,C51270,"l a m medical college, raigarh"
226,C48212,l n medical college
229,C22461,lady hardinge medical college
319,C29699,"m.g.m.medical college, indore"
79,U461,"m.g.r.educational and research institute, chennai"
253,C52206,"m.l.b.medical college, jhansi"
264,C766,"m.p.shah medical college, jamnagar"
95,C40345,m.s ramaiah medical college
209,C45797,"madha medical college and hosp. (inst.code - 464), kancheepuram"
203,C45402,"madras medical college & hosp.  (inst.code - 001),  chennai"
231,C45404,"madurai medical college & hosp. (inst.code - 003), madurai"
201,C13968,"maeer mits mimer medical college, talegaon-dabhade, tal.maval,  pune"
167,C30714,"maharaja agrasen medical college, agroha (hisar)"
219,U143,"maharaja sayajirao univ. of baroda, vadodara"
113,U187,"maharashi markandeshwar univ., solan"
278,U168,"maharishi markandeshwar univ., mullana-ambala"
12,C14034,"mahatma gandhi institute of medical sciences,  sevagram, wardha"
168,C47762,mahatma gandhi medical college and research institute
177,C44885,"mahatma gandhi mission's medical college,aurangabad"
175,C44884,"mahatma gandhi mission's medical college,navi mumbai"
17,C12395,"major s.d.singh medical college & hosp., fatehgarh,"
120,C11594,"malankara orthodox syrian church medical college, kolenchery, ernakulam- 682 311"
237,C16407,maldah medical college
250,C40177,mandya institute of medical sciences
322,C6414,maulana azad medical college
176,C50896,"mayo institute of medical sciences, gadia"
239,C16424,medical college
128,C16170,medical college
104,C35443,"medical college and hosp., sangli"
285,C11760,"medical college, gandhinagar.p.o, kottayam- 686 008"
295,C35423,"medical college, pune"
152,C52312,"medical college, rajnandgaon"
73,U465,"meenakshri academy of higher education and research, chennai"
309,C46331,"melaka manipal medical college, manipal"
56,C45814,"melmaruvathur adhiparasakthi institute of medical sciences and research (inst.code - 243), kancheepuram"
22,C8089,"mes medical college, perinthalmanna"
75,C43561,"mgm medical college, jamshedpur"
245,C16404,midnapore medical college
129,C14002,"miemr medical college & research, latur"
34,C39378,"mkcg medical college, berhampur"
87,C49461,"mmppcts ashwini rural medical college, hosp. and research centre, kumbhari"
310,C30619,"mnr medical college, sanagareddy"
194,C47719,murshidabad medical college and hosp.
275,C28536,"muzaffarnagar medical college opp.befraipur, industrial area, meerut road, muzaffarnagar"
64,C40141,mvj medical college
98,C40067,mysore medical college
246,C16425,n r s medical college
183,C56803,n.c.medical college and hosp.
186,C43569,nalanda medical college and hosp.
279,C36589,"narayan medical college & hosp., jamuhar, rohtas"
63,C30698,"narayana medical college, nellore"
92,C40585,navodaya medical college
171,C57010,nimra institute of medical sciences (nims)
320,U415,"nims univ., jaipur"
273,U239,"nitte unversity, mangalore"
242,C16414,north bengal medical college
296,C55177,p k das institute of medical sciences
20,C864,"p.d.u.medical college, rajkot"
0,C45515,"p.s.g.institute of medical sciences & research (inst.code - 012), coimbatore"
304,U758,pacific medical univ.
125,C13832,"pad.dr.v.v.patil foundations medical college, ahmednagar."
313,C43244,"padmashree dr.d.y.patil medical college, hosp. and research centre, pune"
271,U321,"padmashree dr.d.y.patil vidyapeeth, , mumbai"
263,C55827,parul institute of medical sciences and research
182,C44374,"patliputra medical college, dhanbad"
193,C43236,patna medical college
188,U655,peoples univ.
189,C30394,"pes institute of medical sciences, kuppam"
115,C56095,"ponnaiyah ramajayam institute of medical sciences (inst.code -       ),"
204,C57150,prakash institute of medical sciences and research
26,C1215,"pramukhswami medical college, karamsad"
280,C30767,"pt.b.d.sharma , pgims , rohtak"
266,U174,pt.bhagwat dayal sharma univ. of health sciences
173,C32980,"pt.j.n.m.medical college, raipur"
308,C46108,"punjab institute of medical sciences, jalandhar"
83,C11827,"pushpagiri institute of medical sciences and research centre, tiruvalla 689 101"
195,C16416,r g kar medical college
108,C40162,raichur institute of medical sciences
116,C40063,raja rajeswari medical college & hosp.
49,C14015,"rajashree chhatrapati shahu maharaj govt.medical college, kolhapur"
249,C43265,rajendra institute of medical sciences (rims)
11,C13875,"rajiv gandhi medical college, kalwa, thane"
130,C30456,"rajiv inst.of medical sciences, srikakulam"
306,C51449,"rajshree medical research institute, bareilly"
149,U808,rama univ. uttar pradesh
185,C9435,regional institute of medical sciences
156,C51045,"ruhs college of medical sciences, jaipur"
202,C31670,"rukmani ben deepchandgardi medical college, charitable hosp., ujjain"
35,C9767,"rural medical college, loni"
281,C50714,"s m b t institute of medical sciences & research centre, igatpuri"
293,C40117,s s institute of medical sciences & research centre
137,U473,"s.r.m.institute of science & technology, chennai"
99,C13448,s.r.m.s.institute of medical sciences
316,U870,sai tirupati univ.
230,U539,"santosh univ., ghaziabad"
96,C53296,sapthagiri institute of medical sciences and research centre
199,C16281,saveetha medical college
67,C40399,sdm medical college
136,C13798,"seth g.s.medical  college & kem hosp., parel, mumbai"
240,C30337,"shadan institute of medical sciences, hyderabad"
299,C48776,"shaheed hasan khan mewati govt.medical college, nalhar"
48,U541,"sharda univ., gautam budh nagar"
31,U702,"shree guru gobind singh tricentenary univ., gurgaon"
178,C47765,shri sathya sai medical college and research institute
126,C49824,"shri vithalrao joshi charities trusts, b k l walawalkar hosp. diagnostic and reserch centre, dervan, chiplun"
16,C56397,shridev suman subharti medical college
21,C52337,shridevi institute of medical sciences and research institute 
139,C8625,sikkim manipal institute of medical sciences (smims)
283,U363,siksha 'o' anusandhan univ.
